uri_path	country	hits
/mediawiki/1.19/mediawiki-1.19.24.tar.gz	United States	39
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Yemen	38
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Brazil	38
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Hungary	38
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Finland	37
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Belarus	36
/mediawiki/1.18/mediawiki-1.18.6.tar.gz	Angola	36
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Morocco	35
/mediawiki/1.24/mediawiki-1.24.1.tar.gz	Germany	34
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	New Zealand	33
/mediawiki/1.23/mediawiki-1.23.1.tar.gz	United States	33
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Russia	32
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	France	32
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Israel	31
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Portugal	30
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	United States	30
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Vietnam	29
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Algeria	29
/mediawiki/snapshot/mediawiki-snapshot-20060317.tar.gz	Japan	28
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Japan	27
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Greece	26
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Venezuela	26
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Ethiopia	24
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Peru	24
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Tunisia	24
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	India	23
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Bulgaria	23
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Japan	23
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Nigeria	23
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Unknown	23
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Germany	23
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Saudi Arabia	23
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Ecuador	22
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Uruguay	22
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	United Kingdom	21
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	France	21
/mediawiki/1.18/mediawiki-1.18.6.tar.gz	Republic of Korea	21
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Indonesia	21
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Angola	21
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Russia	20
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	United Arab Emirates	20
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Morocco	20
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Luxembourg	19
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Unknown	19
/mediawiki/1.13/mediawiki-1.13.4.tar.gz	United States	19
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Brazil	19
/mediawiki/1.24/mediawiki-1.24.1.tar.gz	Indonesia	19
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Armenia	19
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Sri Lanka	18
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Egypt	17
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	South Africa	16
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	India	16
/mediawiki/1.15/mediawiki-1.15.1.tar.gz	United States	16
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Republic of Korea	16
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Serbia	16
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Kenya	16
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Norway	16
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	France	15
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Netherlands	15
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Republic of Korea	15
/mediawiki/1.18/mediawiki-1.18.1.tar.gz	Czech Republic	15
/mediawiki/1.23/mediawiki-1.23.3.tar.gz	Germany	15
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Brazil	15
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Trinidad and Tobago	14
/mediawiki/1.22/mediawiki-1.22.6.tar.gz	United States	14
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Myanmar [Burma]	14
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Nepal	14
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Cambodia	14
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Poland	14
/mediawiki/1.15/mediawiki-1.15.1.tar.gz	Germany	14
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	United Kingdom	13
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Sudan	13
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	China	13
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Iraq	13
/mediawiki/1.23/mediawiki-1.23.6.tar.gz	Switzerland	13
/mediawiki/1.18/mediawiki-1.18.6.tar.gz	Malaysia	13
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Philippines	13
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Malaysia	13
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Spain	13
/mediawiki/1.23/mediawiki-1.23.2.tar.gz	United States	12
/mediawiki/1.18/mediawiki-1.18.1.tar.gz	France	12
/mediawiki/1.24/mediawiki-1.24.1.tar.gz	India	12
/mediawiki/1.19/mediawiki-1.19.9.tar.gz	United States	12
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Russia	12
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Thailand	12
/mediawiki/1.23/mediawiki-1.23.6.tar.gz	United States	12
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Slovak Republic	12
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Algeria	11
/mediawiki/1.16/mediawiki-1.16.5.tar.gz	United States	11
/mediawiki/1.17/mediawiki-1.17.5.tar.gz	United States	11
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Ukraine	11
/mediawiki/1.13/mediawiki-1.13.4.tar.gz	Indonesia	11
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Hashemite Kingdom of Jordan	11
/mediawiki/1.23/mediawiki-1.23.2.tar.gz	Netherlands	11
