uri_path	country	hits
/mediawiki/1.4/mediawiki-1.4.14.tar.gz	United States	30
/mediawiki/1.3/mediawiki-1.3.12.tar.gz	United States	30
/mediawiki/1.5/mediawiki-1.5.2.tar.gz	United States	30
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	United Kingdom	30
/mediawiki/1.7/mediawiki-1.7.1.tar.gz	United States	30
/mediawiki/1.4/mediawiki-1.4.12.tar.gz	United States	30
/mediawiki/1.3/mediawiki-1.3.11.tar.gz	United States	30
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Morocco	30
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Pakistan	30
/mediawiki/1.24/mediawiki-1.24.2.patch.gz	United States	30
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Thailand	30
/mediawiki/1.24/mediawiki-1.24.0-rc.0.tar.gz	United States	30
/mediawiki/1.15/mediawiki-1.15.0.tar.gz	United States	30
/mediawiki/snapshot/mediawiki-snapshot-20060316.tar.gz	United States	29
/mediawiki/1.24/mediawiki-1.24.0-rc.1.patch.gz	United States	29
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	United Kingdom	29
/mediawiki/1.3/mediawiki-1.3.13.tar.gz	United States	29
/mediawiki/1.6/mediawiki-1.6.12.tar.gz	United States	29
/mediawiki/1.22/mediawiki-1.22.0.tar.gz	United States	29
/mediawiki/snapshot/mediawiki-snapshot-20060317.tar.gz	United States	29
/mediawiki/1.20/mediawiki-1.20.8.tar.gz	United States	29
/mediawiki/1.16/mediawiki-1.16.0.patch.gz	United States	29
/mediawiki/1.11/mediawiki-1.11.0.tar.gz	United States	29
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Vietnam	29
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Saudi Arabia	29
/mediawiki/1.10/mediawiki-1.10.0.tar.gz	United States	29
/mediawiki/1.24/mediawiki-1.24.0-rc.1.tar.gz	United States	29
/mediawiki/1.8/mediawiki-1.8.4.tar.gz	United States	28
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	India	28
/mediawiki/1.20/mediawiki-1.20.8.patch.gz	United States	28
/mediawiki/1.6/mediawiki-1.6.11.tar.gz	United States	28
/mediawiki/1.5/mediawiki-1.5.5.tar.gz	United States	28
/mediawiki/1.14/mediawiki-1.14.0.patch.gz	United States	28
/mediawiki/1.17/mediawiki-1.17.0.tar.gz	Taiwan	28
/mediawiki/1.23/mediawiki-1.23.0-rc.1.tar.gz	United States	28
/mediawiki/1.21/mediawiki-1.21.0.tar.gz	United States	28
/mediawiki/1.4/mediawiki-1.4.15.tar.gz	United States	28
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Malaysia	28
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Denmark	28
/mediawiki/1.17/mediawiki-1.17.0.patch.gz	United States	28
/mediawiki/1.13/mediawiki-1.13.0.patch.gz	United States	28
/mediawiki/1.15/mediawiki-1.15.0.patch.gz	United States	28
/mediawiki/1.4/mediawiki-1.4.13.tar.gz	United States	28
/mediawiki/1.7/mediawiki-1.7.3.tar.gz	United States	28
/mediawiki/1.23/mediawiki-1.23.3.tar.gz	Ireland	28
/mediawiki/1.4/mediawiki-1.4.4.tar.gz	United States	28
